period,value,released,version
1998,-7560,2015-11-06,v1
1998 APR,-323,2015-11-06,v1
1998 AUG,-337,2015-11-06,v1
1998 DEC,-735,2015-11-06,v1
1998 FEB,-318,2015-11-06,v1
1998 JAN,379,2015-11-06,v1
1998 JUL,-778,2015-11-06,v1
1998 JUN,-1079,2015-11-06,v1
1998 MAR,-518,2015-11-06,v1
1998 MAY,-928,2015-11-06,v1
1998 NOV,-1061,2015-11-06,v1
1998 OCT,-804,2015-11-06,v1
1998 Q1,-457,2015-11-06,v1
1998 Q2,-2330,2015-11-06,v1
1998 Q3,-2173,2015-11-06,v1
1998 Q4,-2600,2015-11-06,v1
1998 SEP,-1058,2015-11-06,v1
1999,-15872,2015-11-06,v1
1999 APR,-1100,2015-11-06,v1
1999 AUG,-1277,2015-11-06,v1
1999 DEC,-1652,2015-11-06,v1
1999 FEB,-938,2015-11-06,v1
1999 JAN,-1166,2015-11-06,v1
1999 JUL,-1919,2015-11-06,v1
1999 JUN,-1871,2015-11-06,v1
1999 MAR,-965,2015-11-06,v1
1999 MAY,-752,2015-11-06,v1
1999 NOV,-1642,2015-11-06,v1
1999 OCT,-1355,2015-11-06,v1
1999 Q1,-3069,2015-11-06,v1
1999 Q2,-3723,2015-11-06,v1
1999 Q3,-4431,2015-11-06,v1
1999 Q4,-4649,2015-11-06,v1
1999 SEP,-1235,2015-11-06,v1
2000,-20186,2015-11-06,v1
2000 APR,-1765,2015-11-06,v1
2000 AUG,-1003,2015-11-06,v1
2000 DEC,-2531,2015-11-06,v1
2000 FEB,-1448,2015-11-06,v1
2000 JAN,-1645,2015-11-06,v1
2000 JUL,-1933,2015-11-06,v1
2000 JUN,-1333,2015-11-06,v1
2000 MAR,-1109,2015-11-06,v1
2000 MAY,-1687,2015-11-06,v1
2000 NOV,-2353,2015-11-06,v1
2000 OCT,-1757,2015-11-06,v1
2000 Q1,-4202,2015-11-06,v1
2000 Q2,-4785,2015-11-06,v1
2000 Q3,-4558,2015-11-06,v1
2000 Q4,-6641,2015-11-06,v1
2000 SEP,-1622,2015-11-06,v1
2001,-25961,2015-11-06,v1
2001 APR,-1708,2015-11-06,v1
2001 AUG,-3183,2015-11-06,v1
2001 DEC,-2508,2015-11-06,v1
2001 FEB,-1631,2015-11-06,v1
2001 JAN,-1829,2015-11-06,v1
2001 JUL,-2171,2015-11-06,v1
2001 JUN,-2676,2015-11-06,v1
2001 MAR,-1854,2015-11-06,v1
2001 MAY,-2234,2015-11-06,v1
2001 NOV,-2137,2015-11-06,v1
2001 OCT,-2023,2015-11-06,v1
2001 Q1,-5314,2015-11-06,v1
2001 Q2,-6618,2015-11-06,v1
2001 Q3,-7361,2015-11-06,v1
2001 Q4,-6668,2015-11-06,v1
2001 SEP,-2007,2015-11-06,v1
2002,-32758,2015-11-06,v1
2002 APR,-2948,2015-11-06,v1
2002 AUG,-2901,2015-11-06,v1
2002 DEC,-2272,2015-11-06,v1
2002 FEB,-2242,2015-11-06,v1
2002 JAN,-2013,2015-11-06,v1
2002 JUL,-3151,2015-11-06,v1
2002 JUN,-3413,2015-11-06,v1
2002 MAR,-2496,2015-11-06,v1
2002 MAY,-2621,2015-11-06,v1
2002 NOV,-3525,2015-11-06,v1
2002 OCT,-2973,2015-11-06,v1
2002 Q1,-6751,2015-11-06,v1
2002 Q2,-8982,2015-11-06,v1
2002 Q3,-8255,2015-11-06,v1
2002 Q4,-8770,2015-11-06,v1
2002 SEP,-2203,2015-11-06,v1
2003,-30156,2015-11-06,v1
2003 APR,-1172,2015-11-06,v1
2003 AUG,-1943,2015-11-06,v1
2003 DEC,-2543,2015-11-06,v1
2003 FEB,-2111,2015-11-06,v1
2003 JAN,-2236,2015-11-06,v1
2003 JUL,-1925,2015-11-06,v1
2003 JUN,-3168,2015-11-06,v1
2003 MAR,-3111,2015-11-06,v1
2003 MAY,-2546,2015-11-06,v1
2003 NOV,-3047,2015-11-06,v1
2003 OCT,-2953,2015-11-06,v1
2003 Q1,-7458,2015-11-06,v1
2003 Q2,-6886,2015-11-06,v1
2003 Q3,-7269,2015-11-06,v1
2003 Q4,-8543,2015-11-06,v1
2003 SEP,-3401,2015-11-06,v1
2004,-35258,2015-11-06,v1
2004 APR,-2695,2015-11-06,v1
2004 AUG,-3388,2015-11-06,v1
2004 DEC,-2362,2015-11-06,v1
2004 FEB,-2408,2015-11-06,v1
2004 JAN,-3779,2015-11-06,v1
2004 JUL,-3223,2015-11-06,v1
2004 JUN,-3042,2015-11-06,v1
2004 MAR,-2411,2015-11-06,v1
2004 MAY,-2730,2015-11-06,v1
2004 NOV,-2739,2015-11-06,v1
2004 OCT,-3471,2015-11-06,v1
2004 Q1,-8598,2015-11-06,v1
2004 Q2,-8467,2015-11-06,v1
2004 Q3,-9621,2015-11-06,v1
