period,value,released,version
2001 APR,6.3,2015-10-13,v1
2001 AUG,5.2,2015-10-13,v1
2001 DEC,4.1,2015-10-13,v1
2001 JUL,5.2,2015-10-13,v1
2001 JUN,5.5,2015-10-13,v1
2001 MAR,6.2,2015-10-13,v1
2001 MAY,5.2,2015-10-13,v1
2001 NOV,4.5,2015-10-13,v1
2001 OCT,4.7,2015-10-13,v1
2001 SEP,4.8,2015-10-13,v1
2002 APR,3.1,2015-10-13,v1
2002 AUG,3.5,2015-10-13,v1
2002 DEC,2.6,2015-10-13,v1
2002 FEB,3.3,2015-10-13,v1
2002 JAN,3.8,2015-10-13,v1
2002 JUL,3.8,2015-10-13,v1
2002 JUN,3.7,2015-10-13,v1
2002 MAR,3.1,2015-10-13,v1
2002 MAY,3.4,2015-10-13,v1
2002 NOV,2.9,2015-10-13,v1
2002 OCT,3.0,2015-10-13,v1
2002 SEP,3.3,2015-10-13,v1
2003 APR,3.2,2015-10-13,v1
2003 AUG,2.8,2015-10-13,v1
2003 DEC,3.8,2015-10-13,v1
2003 FEB,2.4,2015-10-13,v1
2003 JAN,2.5,2015-10-13,v1
2003 JUL,2.7,2015-10-13,v1
2003 JUN,2.7,2015-10-13,v1
2003 MAR,3.1,2015-10-13,v1
2003 MAY,3.3,2015-10-13,v1
2003 NOV,3.7,2015-10-13,v1
2003 OCT,3.5,2015-10-13,v1
2003 SEP,3.1,2015-10-13,v1
2004 APR,3.4,2015-10-13,v1
2004 AUG,4.7,2015-10-13,v1
2004 DEC,5.2,2015-10-13,v1
2004 FEB,3.5,2015-10-13,v1
2004 JAN,3.8,2015-10-13,v1
2004 JUL,4.4,2015-10-13,v1
2004 JUN,4.6,2015-10-13,v1
2004 MAR,3.0,2015-10-13,v1
2004 MAY,4.0,2015-10-13,v1
2004 NOV,5.1,2015-10-13,v1
2004 OCT,5.0,2015-10-13,v1
2004 SEP,4.8,2015-10-13,v1
2005 APR,4.9,2015-10-13,v1
2005 AUG,4.7,2015-10-13,v1
2005 DEC,4.3,2015-10-13,v1
2005 FEB,5.3,2015-10-13,v1
2005 JAN,5.1,2015-10-13,v1
2005 JUL,4.5,2015-10-13,v1
2005 JUN,4.4,2015-10-13,v1
2005 MAR,5.0,2015-10-13,v1
2005 MAY,4.3,2015-10-13,v1
2005 NOV,4.5,2015-10-13,v1
2005 OCT,4.6,2015-10-13,v1
2005 SEP,4.8,2015-10-13,v1
2006 APR,5.5,2015-10-13,v1
2006 AUG,4.6,2015-10-13,v1
2006 DEC,4.7,2015-10-13,v1
2006 FEB,4.8,2015-10-13,v1
2006 JAN,4.2,2015-10-13,v1
2006 JUL,4.9,2015-10-13,v1
2006 JUN,4.8,2015-10-13,v1
2006 MAR,5.3,2015-10-13,v1
2006 MAY,4.9,2015-10-13,v1
2006 NOV,4.1,2015-10-13,v1
2006 OCT,3.9,2015-10-13,v1
2006 SEP,4.0,2015-10-13,v1
2007 APR,5.4,2015-10-13,v1
2007 AUG,4.7,2015-10-13,v1
2007 DEC,4.0,2015-10-13,v1
2007 FEB,6.6,2015-10-13,v1
2007 JAN,5.4,2015-10-13,v1
2007 JUL,4.5,2015-10-13,v1
2007 JUN,4.3,2015-10-13,v1
2007 MAR,6.2,2015-10-13,v1
2007 MAY,4.4,2015-10-13,v1
