period,value,released,version
1971,24507,2015-10-13,v1
1971 APR,24559,2015-10-13,v1
1971 AUG,24464,2015-10-13,v1
1971 DEC,24416,2015-10-13,v1
1971 FEB,24613,2015-10-13,v1
1971 JUL,24508,2015-10-13,v1
1971 JUN,24541,2015-10-13,v1
1971 MAR,24575,2015-10-13,v1
1971 MAY,24556,2015-10-13,v1
1971 NOV,24395,2015-10-13,v1
1971 OCT,24398,2015-10-13,v1
1971 Q1,24613,2015-10-13,v1
1971 Q2,24556,2015-10-13,v1
1971 Q3,24464,2015-10-13,v1
1971 Q4,24395,2015-10-13,v1
1971 SEP,24424,2015-10-13,v1
1972,24579,2015-10-13,v1
1972 APR,24539,2015-10-13,v1
1972 AUG,24585,2015-10-13,v1
1972 DEC,24748,2015-10-13,v1
1972 FEB,24501,2015-10-13,v1
1972 JAN,24455,2015-10-13,v1
1972 JUL,24557,2015-10-13,v1
1972 JUN,24541,2015-10-13,v1
1972 MAR,24529,2015-10-13,v1
1972 MAY,24542,2015-10-13,v1
1972 NOV,24689,2015-10-13,v1
1972 OCT,24643,2015-10-13,v1
1972 Q1,24501,2015-10-13,v1
1972 Q2,24542,2015-10-13,v1
1972 Q3,24585,2015-10-13,v1
1972 Q4,24689,2015-10-13,v1
1972 SEP,24614,2015-10-13,v1
1973,24965,2015-10-13,v1
1973 APR,24986,2015-10-13,v1
1973 AUG,24972,2015-10-13,v1
1973 DEC,25000,2015-10-13,v1
1973 FEB,24903,2015-10-13,v1
1973 JAN,24825,2015-10-13,v1
1973 JUL,24965,2015-10-13,v1
1973 JUN,24975,2015-10-13,v1
1973 MAR,24962,2015-10-13,v1
1973 MAY,24986,2015-10-13,v1
1973 NOV,24999,2015-10-13,v1
1973 OCT,24997,2015-10-13,v1
1973 Q1,24903,2015-10-13,v1
1973 Q2,24986,2015-10-13,v1
1973 Q3,24972,2015-10-13,v1
1973 Q4,24999,2015-10-13,v1
1973 SEP,24984,2015-10-13,v1
1974,25029,2015-10-13,v1
1974 APR,24985,2015-10-13,v1
1974 AUG,25066,2015-10-13,v1
1974 DEC,25044,2015-10-13,v1
1974 FEB,24984,2015-10-13,v1
1974 JAN,24995,2015-10-13,v1
1974 JUL,25044,2015-10-13,v1
1974 JUN,25020,2015-10-13,v1
1974 MAR,24984,2015-10-13,v1
1974 MAY,25002,2015-10-13,v1
1974 NOV,25065,2015-10-13,v1
1974 OCT,25075,2015-10-13,v1
1974 Q1,24984,2015-10-13,v1
1974 Q2,25002,2015-10-13,v1
1974 Q3,25066,2015-10-13,v1
1974 Q4,25065,2015-10-13,v1
1974 SEP,25077,2015-10-13,v1
1975,24933,2015-10-13,v1
1975 APR,24965,2015-10-13,v1
1975 AUG,24918,2015-10-13,v1
1975 DEC,24847,2015-10-13,v1
1975 FEB,24996,2015-10-13,v1
1975 JAN,25018,2015-10-13,v1
1975 JUL,24934,2015-10-13,v1
1975 JUN,24945,2015-10-13,v1
1975 MAR,24980,2015-10-13,v1
1975 MAY,24955,2015-10-13,v1
1975 NOV,24864,2015-10-13,v1
1975 OCT,24880,2015-10-13,v1
1975 Q1,24996,2015-10-13,v1
1975 Q2,24955,2015-10-13,v1
1975 Q3,24918,2015-10-13,v1
1975 Q4,24864,2015-10-13,v1
1975 SEP,24897,2015-10-13,v1
1976,24786,2015-10-13,v1
1976 APR,24788,2015-10-13,v1
1976 AUG,24768,2015-10-13,v1
1976 DEC,24797,2015-10-13,v1
1976 FEB,24809,2015-10-13,v1
1976 JAN,24825,2015-10-13,v1
1976 JUL,24772,2015-10-13,v1
1976 JUN,24776,2015-10-13,v1
1976 MAR,24793,2015-10-13,v1
1976 MAY,24779,2015-10-13,v1
1976 NOV,24788,2015-10-13,v1
1976 OCT,24779,2015-10-13,v1
1976 Q1,24809,2015-10-13,v1
1976 Q2,24779,2015-10-13,v1
1976 Q3,24768,2015-10-13,v1
1976 Q4,24788,2015-10-13,v1
1976 SEP,24771,2015-10-13,v1
1977,24809,2015-10-13,v1
1977 APR,24799,2015-10-13,v1
1977 AUG,24809,2015-10-13,v1
1977 DEC,24833,2015-10-13,v1
1977 FEB,24803,2015-10-13,v1
1977 JAN,24800,2015-10-13,v1
1977 JUL,24804,2015-10-13,v1
1977 JUN,24800,2015-10-13,v1
1977 MAR,24801,2015-10-13,v1
1977 MAY,24802,2015-10-13,v1
1977 NOV,24822,2015-10-13,v1
1977 OCT,24818,2015-10-13,v1
1977 Q1,24803,2015-10-13,v1
1977 Q2,24802,2015-10-13,v1
1977 Q3,24809,2015-10-13,v1
1977 Q4,24822,2015-10-13,v1
1977 SEP,24813,2015-10-13,v1
1978,24940,2015-10-13,v1
1978 APR,24886,2015-10-13,v1
1978 AUG,24941,2015-10-13,v1
1978 DEC,25087,2015-10-13,v1
1978 FEB,24862,2015-10-13,v1
1978 JAN,24844,2015-10-13,v1
1978 JUL,24919,2015-10-13,v1
1978 JUN,24908,2015-10-13,v1
1978 MAR,24874,2015-10-13,v1
1978 MAY,24897,2015-10-13,v1
1978 NOV,25059,2015-10-13,v1
1978 OCT,25017,2015-10-13,v1
1978 Q1,24862,2015-10-13,v1
1978 Q2,24897,2015-10-13,v1
1978 Q3,24941,2015-10-13,v1
1978 Q4,25059,2015-10-13,v1
1978 SEP,24975,2015-10-13,v1
1979,25195,2015-10-13,v1
1979 APR,25136,2015-10-13,v1
1979 AUG,25229,2015-10-13,v1
1979 DEC,25280,2015-10-13,v1
1979 FEB,25113,2015-10-13,v1
1979 JAN,25106,2015-10-13,v1
1979 JUL,25211,2015-10-13,v1
1979 JUN,25186,2015-10-13,v1
1979 MAR,25121,2015-10-13,v1
1979 MAY,25159,2015-10-13,v1
1979 NOV,25280,2015-10-13,v1
1979 OCT,25265,2015-10-13,v1
1979 Q1,25113,2015-10-13,v1
1979 Q2,25159,2015-10-13,v1
1979 Q3,25229,2015-10-13,v1
1979 Q4,25280,2015-10-13,v1
1979 SEP,25248,2015-10-13,v1
1980,25086,2015-10-13,v1
1980 APR,25215,2015-10-13,v1
1980 AUG,25050,2015-10-13,v1
1980 DEC,24785,2015-10-13,v1
1980 FEB,25250,2015-10-13,v1
1980 JAN,25270,2015-10-13,v1
1980 JUL,25110,2015-10-13,v1
1980 JUN,25160,2015-10-13,v1
1980 MAR,25235,2015-10-13,v1
1980 MAY,25190,2015-10-13,v1
1980 NOV,24855,2015-10-13,v1
1980 OCT,24915,2015-10-13,v1
1980 Q1,25250,2015-10-13,v1
1980 Q2,25190,2015-10-13,v1
1980 Q3,25050,2015-10-13,v1
1980 Q4,24855,2015-10-13,v1
1980 SEP,24985,2015-10-13,v1
1981,24430,2015-10-13,v1
1981 APR,24549,2015-10-13,v1
1981 AUG,24355,2015-10-13,v1
1981 DEC,24169,2015-10-13,v1
1981 FEB,24661,2015-10-13,v1
1981 JAN,24720,2015-10-13,v1
1981 JUL,24398,2015-10-13,v1
1981 JUN,24444,2015-10-13,v1
1981 MAR,24606,2015-10-13,v1
1981 MAY,24495,2015-10-13,v1
1981 NOV,24209,2015-10-13,v1
1981 OCT,24261,2015-10-13,v1
1981 Q1,24661,2015-10-13,v1
1981 Q2,24495,2015-10-13,v1
1981 Q3,24355,2015-10-13,v1
1981 Q4,24209,2015-10-13,v1
1981 SEP,24311,2015-10-13,v1
1982,23951,2015-10-13,v1
1982 APR,24067,2015-10-13,v1
1982 AUG,23901,2015-10-13,v1
1982 DEC,23712,2015-10-13,v1
1982 FEB,24120,2015-10-13,v1
1982 JAN,24139,2015-10-13,v1
1982 JUL,23949,2015-10-13,v1
1982 JUN,23992,2015-10-13,v1
1982 MAR,24092,2015-10-13,v1
1982 MAY,24027,2015-10-13,v1
1982 NOV,23755,2015-10-13,v1
1982 OCT,23803,2015-10-13,v1
1982 Q1,24120,2015-10-13,v1
